Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Connector,Flowchart Shapes,1,,,,,,,
3,Connector,Flowchart Shapes,1,,,,,,,
4,Connector,Flowchart Shapes,1,,,,,,,
5,Connector,Flowchart Shapes,1,,,,,,,
6,Connector,Flowchart Shapes,1,,,,,,,
7,Connector,Flowchart Shapes,1,,,,,,,
8,Connector,Flowchart Shapes,1,,,,,,,
9,Connector,Flowchart Shapes,1,,,,,,,
10,Connector,Flowchart Shapes,1,,,,,,,
11,Text,Default,1,,,,,,,trunk
12,Text,Default,1,,,,,,,feature
13,Text,Default,1,,,,,,,"premature merge 
to trunk - bad"
14,Text,Default,1,,,,,,,"bring up to date
with trunk"
15,Text,Default,1,,,,,,,"bring up to date
with trunk"
16,Text,Default,1,,,,,,,"final merge
to trunk"
17,Line,,1,,,2,3,None,Arrow,
18,Line,,1,,,2,4,None,Arrow,
19,Line,,1,,,5,6,None,Arrow,
20,Line,,1,,,5,8,None,Arrow,
21,Line,,1,,,8,6,None,Arrow,
22,Line,,1,,,4,9,None,Arrow,
23,Line,,1,,,7,8,None,Arrow,
24,Line,,1,,,3,9,None,Arrow,
25,Line,,1,,,9,5,None,Arrow,
26,Line,,1,,,3,10,None,Arrow,
27,Line,,1,,,10,7,None,Arrow,
28,Line,,1,,,4,10,None,Arrow,
