Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Connector,Flowchart Shapes,1,,,,,,,
3,Connector,Flowchart Shapes,1,,,,,,,
4,Connector,Flowchart Shapes,1,,,,,,,
5,Connector,Flowchart Shapes,1,,,,,,,
6,Connector,Flowchart Shapes,1,,,,,,,
7,Connector,Flowchart Shapes,1,,,,,,,
8,Connector,Flowchart Shapes,1,,,,,,,
9,Connector,Flowchart Shapes,1,,,,,,,
10,Connector,Flowchart Shapes,1,,,,,,,
11,Text,Default,1,,,,,,,trunk
12,Text,Default,1,,,,,,,release 1.1.x
13,Terminator,Flowchart Shapes,1,,,,,,,Tag 1.1
14,Text,Default,1,,,,,,,"merge or cherry-pick
to trunk - avoid"
15,Text,Default,1,,,,,,,"cherry-pick
from trunk"
16,Terminator,Flowchart Shapes,1,,,,,,,Tag 1.1.1
17,Connector,Flowchart Shapes,1,,,,,,,
18,Connector,Flowchart Shapes,1,,,,,,,
19,Connector,Flowchart Shapes,1,,,,,,,
20,Text,Default,1,,,,,,,trunk
21,Terminator,Flowchart Shapes,1,,,,,,,Tag 1.1
22,Connector,Flowchart Shapes,1,,,,,,,
23,Connector,Flowchart Shapes,1,,,,,,,
24,Connector,Flowchart Shapes,1,,,,,,,
25,Text,Default,1,,,,,,,trunk
26,Terminator,Flowchart Shapes,1,,,,,,,Tag 1.1
27,Connector,Flowchart Shapes,1,,,,,,,
28,Text,Default,1,,,,,,,release 1.1.x
29,Connector,Flowchart Shapes,1,,,,,,,
30,Terminator,Flowchart Shapes,1,,,,,,,Tag 1.1.1
31,Text,Default,1,,,,,,,"cherry-pick
from trunk"
32,Connector,Flowchart Shapes,1,,,,,,,
33,Line,,1,,,2,3,None,Arrow,
34,Line,,1,,,2,4,None,Arrow,
35,Line,,1,,,5,6,None,Arrow,
36,Line,,1,,,7,8,None,Arrow,
37,Line,,1,,,3,9,None,Arrow,
38,Line,,1,,,9,5,None,Arrow,
39,Line,,1,,,10,7,None,Arrow,
40,Line,,1,,,4,10,None,Arrow,
41,Line,,1,,,10,5,None,Arrow,
42,Line,,1,,,9,7,None,Arrow,
43,Line,,1,,,17,18,None,Arrow,
44,Line,,1,,,18,19,None,Arrow,
45,Line,,1,,,22,23,None,Arrow,
46,Line,,1,,,23,24,None,Arrow,
47,Line,,1,,,27,22,Arrow,None,
48,Line,,1,,,24,27,None,Arrow,
49,Line,,1,,,27,29,None,Arrow,
50,Line,,1,,,24,32,None,Arrow,
