Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Rectangle,Geometric Shapes,1,,,,,,,Client1
3,Rectangle,Geometric Shapes,1,,,,,,,Client2
4,Rectangle,Geometric Shapes,1,,,,,,,methodRelevantToClient1() methodRelevantToClient2()
5,Rectangle,Geometric Shapes,1,,,,,,,Provider
6,Rectangle,Geometric Shapes,1,,,,,,,methodRelevantToClient1() methodRelevantToClient2()
7,Rectangle,Geometric Shapes,1,,,,,,,Provider
8,Rectangle,Geometric Shapes,1,,,,,,,Client1
9,Rectangle,Geometric Shapes,1,,,,,,,Client2
10,Rectangle,Geometric Shapes,1,,,,,,,methodRelevantToClient1()
11,Rectangle,Geometric Shapes,1,,,,,,,<<interface>> InterfaceForClient1
12,Rectangle,Geometric Shapes,1,,,,,,,methodRelevantToClient2()
13,Rectangle,Geometric Shapes,1,,,,,,,<<interface>> InterfaceForClient2
14,Line,,1,,,2,5,None,Arrow,
15,Line,,1,,,3,5,None,Arrow,
16,Line,,1,,,8,11,None,Arrow,
17,Line,,1,,,9,13,None,Arrow,
18,Line,,1,,,7,10,None,Hollow Arrow,
19,Line,,1,,,12,7,Hollow Arrow,None,
